checkpoint,build_id,part_id,mark,label,blank_mm,operations,cut_label,material
811673554c0a4f1b3b570cf733f465795241351a,build_5d0bf95966464effbf216bae30bfe6f4,roof_joint.rafter,P-E469B73B,roof_joint.rafter,"[38, 629.0169943749474, 140]","[{'horizontal_run_mm': 500, 'kind': 'plumb_cut', 'slope': 0.5}, {'frame': 'assembly', 'kind': 'birdsmouth', 'seat_mm': 89, 'seat_z_mm': 44.5, 'stock_seat_endpoints_mm': [[0.0, 19.90100499974813, 39.802009999496256], [0.0, 99.50502499874065, -7.93809462606987e-15]]}]",C01,lumber.38x140
811673554c0a4f1b3b570cf733f465795241351a,build_5d0bf95966464effbf216bae30bfe6f4,roof_joint.plate,P-0F088D27,roof_joint.plate,"[38, 89, 38]","[{'finished_length_mm': 38, 'kind': 'square_cut'}]",C02,lumber.38x89
