checkpoint,build_id,estimate_id,price_basis_id,product,quantity,purchase_unit,unit_price,line_total,currency,specification
f8e71b97bd4e94fc4083a0427965f295e6c6c0ec,build_c09e042292b0488d88e9132fa62b6a12,a5143f243da9f7d19a78e5d5738cffe0bbdaa78aa65706cf24a4f383bf21a480,91f8389ee47ce7b5173db427f2e18d307eeb27033c8ee66e61b98c1caed8ed39,lumber.1.5x5.5,1,board,,,USD,"{""length_unit"": ""in"", ""material"": ""softwood"", ""section"": [1.5, 5.5], ""stock_length"": ""96""}"
f8e71b97bd4e94fc4083a0427965f295e6c6c0ec,build_c09e042292b0488d88e9132fa62b6a12,a5143f243da9f7d19a78e5d5738cffe0bbdaa78aa65706cf24a4f383bf21a480,91f8389ee47ce7b5173db427f2e18d307eeb27033c8ee66e61b98c1caed8ed39,lumber.1.5x3.5,1,board,,,USD,"{""length_unit"": ""in"", ""material"": ""softwood"", ""section"": [1.5, 3.5], ""stock_length"": ""96""}"
