checkpoint,build_id,part_id,mark,label,blank_mm,operations,cut_label,material
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.rafter.back.at_406_4,P-CC295367,Rafter Back At_406_4,"[38, 1411.8643932976238, 140]","[{'horizontal_run_mm': 1200.2, 'kind': 'plumb_cut', 'slope': 0.5}, {'frame': 'assembly', 'kind': 'birdsmouth', 'seat_mm': 89, 'seat_z_mm': 44.5, 'stock_seat_endpoints_mm': [[0.0, 19.90100499974813, 39.802009999496256], [0.0, 99.50502499874065, -7.93809462606987e-15]]}]",C26,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.tie.at_406_4,P-9990557B,Tie At_406_4,"[38, 2438.4, 89]","[{'finished_length_mm': 2438.4, 'kind': 'square_cut'}]",C27,lumber.38x89
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.rafter.front.at_812_8,P-88636645,Rafter Front At_812_8,"[38, 1411.8643932976238, 140]","[{'horizontal_run_mm': 1200.2, 'kind': 'plumb_cut', 'slope': 0.5}, {'frame': 'assembly', 'kind': 'birdsmouth', 'seat_mm': 89, 'seat_z_mm': 44.5, 'stock_seat_endpoints_mm': [[0.0, 19.90100499974813, 39.802009999496256], [0.0, 99.50502499874065, -7.93809462606987e-15]]}]",C26,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.rafter.back.at_812_8,P-023B19A5,Rafter Back At_812_8,"[38, 1411.8643932976238, 140]","[{'horizontal_run_mm': 1200.2, 'kind': 'plumb_cut', 'slope': 0.5}, {'frame': 'assembly', 'kind': 'birdsmouth', 'seat_mm': 89, 'seat_z_mm': 44.5, 'stock_seat_endpoints_mm': [[0.0, 19.90100499974813, 39.802009999496256], [0.0, 99.50502499874065, -7.93809462606987e-15]]}]",C26,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.tie.at_812_8,P-E93EBE88,Tie At_812_8,"[38, 2438.4, 89]","[{'finished_length_mm': 2438.4, 'kind': 'square_cut'}]",C27,lumber.38x89
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.rafter.front.at_1219_2,P-DB718470,Rafter Front At_1219_2,"[38, 1411.8643932976238, 140]","[{'horizontal_run_mm': 1200.2, 'kind': 'plumb_cut', 'slope': 0.5}, {'frame': 'assembly', 'kind': 'birdsmouth', 'seat_mm': 89, 'seat_z_mm': 44.5, 'stock_seat_endpoints_mm': [[0.0, 19.90100499974813, 39.802009999496256], [0.0, 99.50502499874065, -7.93809462606987e-15]]}]",C26,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.rafter.back.at_1219_2,P-E528A5A8,Rafter Back At_1219_2,"[38, 1411.8643932976238, 140]","[{'horizontal_run_mm': 1200.2, 'kind': 'plumb_cut', 'slope': 0.5}, {'frame': 'assembly', 'kind': 'birdsmouth', 'seat_mm': 89, 'seat_z_mm': 44.5, 'stock_seat_endpoints_mm': [[0.0, 19.90100499974813, 39.802009999496256], [0.0, 99.50502499874065, -7.93809462606987e-15]]}]",C26,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.tie.at_1219_2,P-9236FC1A,Tie At_1219_2,"[38, 2438.4, 89]","[{'finished_length_mm': 2438.4, 'kind': 'square_cut'}]",C27,lumber.38x89
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.rafter.front.at_1625_6,P-70E71A72,Rafter Front At_1625_6,"[38, 1411.8643932976238, 140]","[{'horizontal_run_mm': 1200.2, 'kind': 'plumb_cut', 'slope': 0.5}, {'frame': 'assembly', 'kind': 'birdsmouth', 'seat_mm': 89, 'seat_z_mm': 44.5, 'stock_seat_endpoints_mm': [[0.0, 19.90100499974813, 39.802009999496256], [0.0, 99.50502499874065, -7.93809462606987e-15]]}]",C26,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.rafter.back.at_1625_6,P-F11CE1FF,Rafter Back At_1625_6,"[38, 1411.8643932976238, 140]","[{'horizontal_run_mm': 1200.2, 'kind': 'plumb_cut', 'slope': 0.5}, {'frame': 'assembly', 'kind': 'birdsmouth', 'seat_mm': 89, 'seat_z_mm': 44.5, 'stock_seat_endpoints_mm': [[0.0, 19.90100499974813, 39.802009999496256], [0.0, 99.50502499874065, -7.93809462606987e-15]]}]",C26,lumber.38x140
