checkpoint,build_id,estimate_id,price_basis_id,product,quantity,purchase_unit,unit_price,line_total,currency,specification
5400267230644c0ad7990fdaa54eab1b77637bb2,build_5be1075730bf49e0b5eb6ab157e6ec83,b828364cbb8b471536c19333ce473d1188c457c10a3911ed626899e15fc95b15,91f8389ee47ce7b5173db427f2e18d307eeb27033c8ee66e61b98c1caed8ed39,screws.no8x1_5,1,pack,,,USD,"{""gauge"": ""#8"", ""length"": 1.5, ""length_unit"": ""in"", ""type"": ""countersunk wood""}"
5400267230644c0ad7990fdaa54eab1b77637bb2,build_5be1075730bf49e0b5eb6ab157e6ec83,b828364cbb8b471536c19333ce473d1188c457c10a3911ed626899e15fc95b15,91f8389ee47ce7b5173db427f2e18d307eeb27033c8ee66e61b98c1caed8ed39,screws.no10x3,1,pack,,,USD,"{""gauge"": ""#10"", ""length"": 3, ""length_unit"": ""in"", ""type"": ""wood""}"
5400267230644c0ad7990fdaa54eab1b77637bb2,build_5be1075730bf49e0b5eb6ab157e6ec83,b828364cbb8b471536c19333ce473d1188c457c10a3911ed626899e15fc95b15,91f8389ee47ce7b5173db427f2e18d307eeb27033c8ee66e61b98c1caed8ed39,lumber.2x4,6,board,,,USD,"{""grade"": ""construction"", ""length_unit"": ""in"", ""material"": ""softwood"", ""section"": [1.5, 3.5], ""stock_length"": ""96""}"
5400267230644c0ad7990fdaa54eab1b77637bb2,build_5be1075730bf49e0b5eb6ab157e6ec83,b828364cbb8b471536c19333ce473d1188c457c10a3911ed626899e15fc95b15,91f8389ee47ce7b5173db427f2e18d307eeb27033c8ee66e61b98c1caed8ed39,panel.plywood,1,sheet,,,USD,"{""length_unit"": ""in"", ""material"": ""plywood"", ""sheet"": [96, 48], ""thickness"": 0.75}"
