checkpoint,build_id,part_id,mark,label,units,blank,operations,cut_label,material
ca8aced76ca1b8bbeea80e1f8661c04cf1cf3db0,build_2401b3a9b774474b913e259e30edf49b,opening.left_jamb,P-D2F94965,opening.left_jamb,in,"[1.5, 3.5, 84]","[{'finished_length': 84, 'kind': 'square_cut'}]",C01,lumber.1.5x3.5
ca8aced76ca1b8bbeea80e1f8661c04cf1cf3db0,build_2401b3a9b774474b913e259e30edf49b,opening.right_jamb,P-F61350AB,opening.right_jamb,in,"[1.5, 3.5, 84]","[{'finished_length': 84, 'kind': 'square_cut'}]",C01,lumber.1.5x3.5
ca8aced76ca1b8bbeea80e1f8661c04cf1cf3db0,build_2401b3a9b774474b913e259e30edf49b,opening.header,P-95610023,opening.header,in,"[39.0, 3.5, 5.5]","[{'finished_length': 39.0, 'kind': 'square_cut'}]",C02,lumber.3.5x5.5
ca8aced76ca1b8bbeea80e1f8661c04cf1cf3db0,build_2401b3a9b774474b913e259e30edf49b,opening.corner_detail,P-9504AB0E,opening.corner_detail,in,"[3, 3, 0.25]","[{'kind': 'profile_cut', 'profile': [[3, 0], [0, 0], [0, 1], [2, 3], [3, 3]]}, {'axis': 'Z', 'center': [2.375, 0.625], 'diameter': 0.3125, 'kind': 'bore', 'through': True}]",C03,steel.plate.3x3x0.25
