checkpoint,build_id,estimate_id,price_basis_id,product,quantity,purchase_unit,unit_price,line_total,currency,specification
ca8aced76ca1b8bbeea80e1f8661c04cf1cf3db0,build_2401b3a9b774474b913e259e30edf49b,59bb8081aaa8d37e9309104e019816cd2697f2e0094b9f56b7a8d352edb58656,91f8389ee47ce7b5173db427f2e18d307eeb27033c8ee66e61b98c1caed8ed39,lumber.3.5x5.5,1,board,,,USD,"{""length_unit"": ""in"", ""material"": ""softwood"", ""section"": [3.5, 5.5], ""stock_length"": ""96""}"
ca8aced76ca1b8bbeea80e1f8661c04cf1cf3db0,build_2401b3a9b774474b913e259e30edf49b,59bb8081aaa8d37e9309104e019816cd2697f2e0094b9f56b7a8d352edb58656,91f8389ee47ce7b5173db427f2e18d307eeb27033c8ee66e61b98c1caed8ed39,screws.no10x3,1,pack,,,USD,"{""gauge"": ""#10"", ""length"": 3, ""length_unit"": ""in"", ""type"": ""wood""}"
ca8aced76ca1b8bbeea80e1f8661c04cf1cf3db0,build_2401b3a9b774474b913e259e30edf49b,59bb8081aaa8d37e9309104e019816cd2697f2e0094b9f56b7a8d352edb58656,91f8389ee47ce7b5173db427f2e18d307eeb27033c8ee66e61b98c1caed8ed39,steel.plate.3x3x0.25,1,each,,,USD,"{""length_unit"": ""in"", ""material"": ""steel"", ""size"": [3, 3, 0.25]}"
ca8aced76ca1b8bbeea80e1f8661c04cf1cf3db0,build_2401b3a9b774474b913e259e30edf49b,59bb8081aaa8d37e9309104e019816cd2697f2e0094b9f56b7a8d352edb58656,91f8389ee47ce7b5173db427f2e18d307eeb27033c8ee66e61b98c1caed8ed39,lumber.1.5x3.5,2,board,,,USD,"{""length_unit"": ""in"", ""material"": ""softwood"", ""section"": [1.5, 3.5], ""stock_length"": ""96""}"
